Column;de;en
unitability_hint_wipe;Wenn diese Einheit ein Ziel mit weniger als 200 Leben angreift, fügt sie weniger Schaden zu, trifft aber alle Einheiten vor sich.;Whenever this unit attacks a target with less than 200 maximum HP, it instead attacks all units in front of it for less damage
;;
ok;Ok;Ok
close;Schließen;Close
back;Zurück;Back
or;Oder;Or
to_shop;Zum Shop;To the shop
wait;Warten;Wait
done;Fertig;Done
cancel;Abbrechen;Cancel
continue;Weiter;Continue
copy_to_clipboard;In die Zwischenablage kopieren;Copy to clipboard
delete;Löschen;Delete
defeat;Niederlage;Defeat
exit;Möchtest du Rise of Legions wirklich beenden?;Do you really want to exit Rise of Legions?
loading;Lade;Loading
password;Passwort;Password
quit;Zurück zum Desktop;Exit to desktop
save;Speichern;Save
settings;Optionen;Settings
username;Nutzername;Username
victory;Sieg;Victory
;;
currency_gold;Credits;Credits
currency_gold_hint;- Credits -\nDu verdienst Credits durch jedes Match, welches du bestreitest. Im Shop kannst du dafür freigeschaltete Karten erwerben.;- Credits -\nYou receive credits for each played match. You can spend them in the shop to buy unlocked cards.
currency_diamonds;Kristalle;Crystals
currency_diamonds_hint;- Kristalle -\nDu kannst Kristalle für echtes Geld im Shop erwerben. Dort kannst du sie dafür verwenden Karten direkt freizuschalten und zu kaufen.;- Crystals -\nYou can buy crystals for real money in the shop. Spend them to buy and unlock cards directly.
currency_orb_black;Schwarzer Orbs;Black Orbs
currency_orb_green;Grüne Orbs;Green Orbs
currency_orb_red;Rote Orbs;Red Orbs
currency_orb_blue;Blaue Orbs;Blue Orbs
currency_orb_white;Weiße Orbs;White Orbs
currency_essence;Essenz;Essence
currency_free_exp;Freie Kartenerfahrung;Free card experience
chat_request_add;Senden;Add
chat_request_incoming;Möchte dich hinzufügen;wants to add you
chat_request_waiting;Warte auf Annahme;Waiting for answer
chat_status_csaway;Abwesend;Away
chat_status_csbusy;Beschäftigt;Busy
chat_status_csoffline;Offline;Offline
chat_status_csonline;Online;Online
chat_window_send;Senden;Send
;;
collection_item_btn_to_shop;Zum Shop;Buy in shop
collection_nav_ecblack;Schwarze Legion;Black Legion
collection_nav_ecgreen;Grüne Legion;Green Legion
collection_nav_ecwhite;Weiße Legion;White Legion
collection_nav_ecblue;Blaue Legion;Blue Legion
collection_quest_block_hint;Schalte alle benötigten Karten frei, um Fortschritt bei dieser Quest zu machen.;Unlock all required cards to progress this quest.
collection_requirements_caption;Shop-Freischaltquests;Shop Unlock Requirements
;;
card_detail_ascend;Aufsteigen;Ascend
card_detail_ascend_locked_hint;Du benötigst mehr Credits oder musst mehr Karten opfern, um diese Karte aufsteigen zu lassen.;You need more credits or have to sacrifice more cards to ascend this card.
card_detail_material_in_deck;Im Deck;In Deck
card_detail_level;Opfern;Sacrifice
card_detail_no_ascension_material;Du besitzt aktuell keine weiteren passenden Karten für den Aufstieg.;You currently have no further cards for the ascension.
card_detail_ascension_max_league;Die Karte befindet sich auf der höchsten Stufe und kann nicht weiter aufsteigen.;The card has reached the highest tier and can‘t ascent further.
card_detail_ascension_not_ready;Die Karte muss auf Level 5 sein, um aufsteigen zu können.;The card has to be level 5 in order to be ascended.
card_detail_ascension_empty_sacrifice_list;Opfere Karten, um die Kosten des Aufstiegs zu verringern.;Sacrifice cards to reduce the cost of the ascension.
card_detail_ascension_empty_sacrifice_list_ready;Die Karte kann allein mit Credits aufsteigen. §card_detail_ascension_empty_sacrifice_list;Use Credits to ascend this card. §card_detail_ascension_empty_sacrifice_list
card_detail_no_push_material;Du besitzt aktuell keine weiteren passenden Karten für einen Erfahrungsschub.;You currently have no further cards for adding experience.
card_stats_charge_count;Ladungen;Charges
card_stats_charge_cooldown;Ladungsabklingzeit;Charge cooldown
card_stats_cost;Kosten;Cost
card_stats_tier;Phase;Stage
card_stats_squad_size;Truppgröße;Squad size
card_stats_health;Lebenspunkte;Health
card_stats_armor;Rüstungsklasse;Armor
card_stats_dps;SPS;DPS
card_stats_attack_damage;Schaden pro Angriff;Damage per hit
card_stats_attack_cooldown;Angriffsgeschwindigkeit;Attack speed
card_stats_attack_range;Reichweite;Range
;;
closemessage;Zurück zum Desktop?;Return to desktop?
deckbuilding_cardpool_pagecounter;Seite %d/%d;Page %d/%d
deckbuilding_deck_add;Neues Deck erstellen;Add new deck
deckbuilding_deck_close;Fertig;Done
deckbuilding_deck_default_name;Mein Deck;My Deck
deckbuilding_deckicon_list_caption;Wähle ein Icon für das Deck!;Choose an icon for this deck!
deckbuilding_deck_card_add_color_exceed;Ein Deck darf maximal 2 Farben enthalten.;A deck must not contain more than 2 colors.
deckbuilding_list_caption;Deckliste;Decklist
decklist_delete_btn_hint;Deck löschen;Delete Deck
decklist_delete_dialog_caption;Decklöschung bestätigen;Confirmation
decklist_delete_dialog_text;Möchtest du folgendes Deck wirklich endgültig löschen?;Do you really want to delete the following deck?
;;
error_eoutofmemory;Es konnte nicht genug Arbeitsspeicher bereitgestellt werden.\n\nBitte beachte die Mindestvoraussetzungen für das Spiel. \nSchließe andere Programme während du Rise of Legions spielst, um mehr Arbeitsspeicher zur Verfügung zu haben. \nReduziere die Texturauflösung in den Optionen, um mehr Grafikspeicher zur Verfügung zu haben.\nWenn das Problem weiterhin besteht, kontaktiere uns und wir helfen dir gerne weiter.;There was not enough working memory.\n\n Please note the minimal requirements for the game.\nClose other application while playing Rise of Legions to maximize the availabe working memory.\nReduce the texture resolution in the settings to reduce the used video memory.\n If the problem persists, don‘t hesitate to contact us for help.
error_caption;Fehler;Error
error_core_lost_connection;Es tut uns Leid, aber die Verbindung zum Spieleserver ist abgebrochen. Das Spiel kann daher nicht mehr fortgesetzt werden.;Unfortunately the connection to the game server has been lost. Your recent game can not be continued. Please apologize for the inconvenience.
errorcode_000;Undefinierter Fehler.;Undefined error.
errorcode_001;Der Server antwortet nicht.;Server does not respond.
errorcode_002;Zeitüberschreitung einer Anfrage an den Server.;A request has timed out.
errorcode_003;Eine Anfrage an den Server wurde blockiert. Füge bitte Rise Of Legions der Ausnahmeliste deiner Firewall hinzu. Sollte das Problem weiter bestehen, kontaktiere uns.;A server request has been blocked. Please add an exception rule to your firewall for Rise of Legions. If the problem persists, please contact us.
errorcode_010;Du bist nicht authentifiziert. Bitte starte das Spiel neu.;User is not authenticated.
errorcode_011;Ein fehlerhafter Parameter wurde an den Server gesendet.;A parameter has bad format.
errorcode_013;Das SteamOverlay ist deaktiviert. Bitte aktiviere es und starte danach Rise of Legions neu, um Käufe tätigen und den Chat nutzen zu können.;The steam overlay is disabled. Please activate it and restart Rise of Legions, to enable purchases and the chat.
errorcode_020;Unbekannter Benutzername.;Unknown username.
errorcode_021;Falsches Passwort.;Wrong password.
errorcode_022;Du bist schon eingeloggt.;User is already logged in.
errorcode_023;Dieser Spieler ist nicht auf deiner Freundesliste.;This user is not on your friendlist.
errorcode_024;Unbekannte Freundschaftsanfrage.;Unknown friend request.
errorcode_025;Invalider Empfänger der Freundschaftsanfrage.;Friendrequest has invalid receiver.
errorcode_026;Der Spieler befindet sich schon auf deiner Freundschaftsliste.;You're already friends.
errorcode_027;Das Team befindet sich nicht in der Queue.;Team is not in the queue.
errorcode_028;Unbekanntes Matchmaking-Team.;Unknown matchmaking team.
errorcode_029;Diese Aktion kann nur der Teamleiter durchführen.;Non leader performs leader operation.
errorcode_030;Der Spieler ist schon Teil des Teams.;Already member of this matchmaking team.
errorcode_031;Der Spieler wurde nicht vorgeschlagen.;Player has not been suggested.
errorcode_032;Der Spieler ist nicht Teil des Teams.;Player is not a member of the team.
errorcode_033;Unbekannter Spielmodus.;Unkown gamemode.
errorcode_034;Spielmodus ist deaktiviert.;Disabled gamemode.
errorcode_035;Diese Einladung ist ausgelaufen.;This invite has expired.
errorcode_036;Spieler wurde nicht eingeladen.;Not invited player.
errorcode_037;Einladung abgelehnt.;Invite has been rejected.
errorcode_038;Invalide Einladung.;Invalid invite.
errorcode_039;Dein Team befindet sich schon in der Queue.;Team is already in queue.
errorcode_040;Es wurde ein für den Server unbekanntes Deck ausgewählt. Bitte starte den Client neu, falls der Fehler erneut auftritt.;The chosen deck is unknown from the server. Please restart your client, if this error occures again.
errorcode_043;Beim Karten hinzufügen ist ein Fehler aufgetreten. Bitte versuche es erneut.;An error occured while adding a card to the deck. Please try again.
errorcode_045;Die Karte steht nicht mehr zum Kauf zur Verfügung. Bitte starte deinen Client neu und versuche es erneut.;The card can‘t be bought anymore. Please restart your client, if this error occures again.
errorcode_046;Der Kauf ist fehlgeschlagen.;The purchase failed.
errorcode_055;Der Aufstieg der Karte ist fehlgeschlagen.;The ascension of the card failed.
errorcode_062;Einladen fehlgeschlagen. Unbekannte Freund-ID.;Invite failed. Unknown friend id.
errorcode_063;Eine Deckbeschränkung ist fehlgeschlagen.;A deck constraint is not fulfilled.
errorcode_065;Leider ist das Spiel auf dem Server abgestürzt und konnte nicht erfolgreich beendet werden.;Unfortunately the game crashed and did not finish properly.
errorcode_066;Die Quest konnte auf dem Server nicht gefunden werden.;The quest could not be found on the server.
errorcode_067;Die Quest ist noch nicht abgeschlossen.;The quest is not finished, yet.
errorcode_068;Die Belohnung der Quest wurde schon abgeholt.;The quest reward is already collected.
errorcode_069;Die Quest konnte nicht gewechselt werden, da alle Wechsel verbraucht sind.;The quest could not be rerolled as no rerolls are available.
errorcode_070;Die anzuzeigende Nachricht konnte auf dem Server nicht gefunden werden.;The message to be shown could not be found on the server.
errorcode_071;Die Anhänge der Nachricht wurden schon eingesammelt.;The message attachments have been already collected.
errorcode_072;Das Deck-Tier passt nicht zur gewählten Matchmaking-Warteschlange.;The deck tier does not match the chosen matchmaking queue.
errorcode_073;Der Bonuscode ist leider ungültig. Bitte überprüfe, ob du alle Zeichen richtig eingegeben hast.;Unfortunately the bonus code is invalid. Please assure that all letters are typed correctly.
errorcode_074;Dieser Bonuscode wurde leider schon verwendet und kann nicht erneut eingelöst werden.;Unfortunately this bonus code have already been redeemed and can‘t be used anymore.
errorcode_075;Dein Account hat leider schon die maximale Anzahl an Bonuscodes diesen Typs eingelöst.;Your account unfortunately have already redeemed the maximum of this type of bonus codes.
errorcode_076;Du hast dieses Icon noch nicht freigeschaltet und es kann daher nicht verwendet werden.;You didn‘t unlocked this icon yet. Thus it can‘t be used.
errorcode_077;Es konnte kein neues Deck angelegt werden, da alle freigeschalteten Deckplätze belegt sind.;The new deck could not be created as all unlocked deck slots are occupied.
errorcode_500;Ein interner Serverfehler ist aufgetreten.;An internal server error occured.
;;
exit_dialog_caption;Zurück zum Desktop;Exit to desktop
exit_dialog_message;Möchtest du Rise of Legions wirklich beenden?;Do you really want to exit Rise of Legions?
exit_dialog_dont_show_again;Bitte nicht mehr fragen;Don't ask again
;;
friendlist_add_new_friend_direct;Freundschaftsanfrage senden;Send friend request
friendlist_add_new_friend_direct_confirmation_caption;Freund hinzugefügt;Friend added
friendlist_add_new_friend_direct_confirmation_text;Die Freundschaftsanfrage wurde versendet. Sobald sie angenommen wurde, könnt ihr euch gegenseitig online sehen.;The friend request has been sent. After being accepted, you can see each other online.
friendlist_add_new_friend;Freund einladen;Add a friend
friendlist_add_new_friend_by_list;Per Steam;Via Steam
friendlist_add_new_friend_by_code;Per Freund-ID;Via friend id
friendlist_add_golems_caption;Freundschaftsanfrage abgelehnt!;Friend request rejected!
friendlist_add_golems_text;Die Kristallgolems sind sehr eigenbrötlerisch und wollen mit Menschen nichts zu tun haben. Nimm es nicht persönlich.;Don't disturb Crystal Golems. Crystal Golems want to be left alone. Don't take it personally.
friendlist_empty_description;Du hast aktuell noch keine Freunde hinzugefügt. Du kannst andere Spieler von Rise of Legions über ihre Freund-ID hinzufügen oder auch direkt, wenn ihr auf Steam befreundet seid.;You did not add any friends by now. You can add other players of Rise of Legions via their Friend-ID, or directly if you are connected in steam.
friendlist_friend_id;Freund-ID: %d;Friend-ID: %d
friendlist_playericon_list_caption;Wähle ein Icon für dein Profil!;Choose an icon for your profile!
;;
game_statistics_loading;Statistiken werden geladen...;Statistics are loading...
gamemode;Wähle den Spielmodus!;Choose game mode!
;;
generic_loading_dialog_caption;Bitte warten;Please wait
generic_loading_dialog_message;Lade…;Loading…
;;
gui_boosts_first_win_available;Der Bonus für den ersten Sieg des Tages ist bereit.;Daily first win bonus available.
gui_boosts_first_win_time;Bonus für den ersten Sieg des Tages verfügbar in %s.;Daily first win bonus available in %s.
gui_card_detail_charge_up;Opfern;Sacrifice
gui_card_detail_league_up;Aufsteigen;Ascend
gui_card_detail_level_up;Aufleveln;Level up
gui_card_detail_level_up_max;Maximal aufleveln;Level up to maximum
gui_card_detail_disenchant;Entzaubern;Disenchant
gui_card_detail_sacrifice;Opfern;Sacrifice
gui_card_ordering_foalphabetical;Alphabetisch (A-Z);Alphabetical (A-Z)
gui_card_ordering_foalphabeticalreverse;Alphabetisch (Z-A);Alphabetical (Z-A)
gui_card_ordering_foattack;Angriffsstärke;Attack
gui_card_ordering_focost;Kosten;Cast costs
gui_card_ordering_fodefense;Verteidigungsstärke;Defense
gui_card_ordering_fopricediamonds;Kristall-Preis;Crystal-Price
gui_card_ordering_fopricegold;Creditpreis;Credit-Price
gui_card_ordering_fotech;Phase (I, II, III);Stage (I, II, III)
gui_card_ordering_fotechreverse;Phase (III, II, I);Stage (III, II, I)
gui_card_ordering_foutility;Unterstützungswert;Utility
gui_card_daily_reward;Erhält beim nächsten Sieg Bonuserfahrung.;Gain bonus experience for the next victory.
gui_card_daily_reward_wait;Täglicher Bonus verfügbar in %s.;Daily reward available in %s.
gui_feedback_caption;Feedback;Feedback
gui_feedback_submit;Absenden;Send
gui_feedback_toggle_hint;Sende uns Feedback! Wir freuen uns über all deine Gedanken, sowohl positive als auch negative.;Send your feeback! We're glad to improve Rise of Legions based on player feedback :)
gui_ingame_menu_caption;Spielmenü;Game menu
gui_ingame_tech_hint;Die Phase erhöht sich nach Ablauf einer festen Zeit bis zu einem Maximum von 3. Beschwörungen und Zauber können nur gespielt werden, sobald ihre Phasenvoraussetzung erreicht wurde.;The stage increases after a fixed amount of time, giving you access to your more powerful summons and spells. (maximum level: 3)
gui_load_main_menu;Lade Hauptmenü...;Loading main menu...
gui_player_level_up_caption;Nächstes Level erreicht!;Level Up!
gui_player_level_up_loot_receive_caption;Du erhältst:;You receive:
gui_player_level_up_loot_caption;Wenn du Level %d erreichst, erhältst du:;By reaching level %d, you will receive:
gui_settings_menu_graphics_deferred_shading;Verbesserter Renderer;Improved Renderer
gui_settings_menu_graphics_distortion;Verzerrungseffekte;Distortion
gui_settings_menu_graphics_experimental;Diese Option ist experimentell und kann die Leistung des Spiels stark beeinträchtigen.;This option is experimental and can have a heavy impact on performance.
gui_settings_menu_graphics_fxaa;Anti-Aliasing (FXAA);Antialiasing (FXAA)
gui_settings_menu_graphics_glow;Glow;Glow
gui_settings_menu_graphics_gui_blur;Dynamische Menühintergründe;Dynamic menu backgrounds
gui_settings_menu_graphics_shadows;Schattenqualität;Shadow quality
gui_settings_menu_graphics_ssao;Streulichtverdeckung (SSAO);Ambient Occlusion
gui_settings_menu_graphics_toon;Kantenbetonung;Toon border
gui_settings_menu_graphics_unsharp_masking;Bild schärfen;Sharpen Image
gui_settings_menu_graphics_window_mode;Fenstermodus;Window mode
gui_settings_menu_graphics_shadowmode_sqhigh;Hoch;High
gui_settings_menu_graphics_shadowmode_sqlow;Niedrig;Low
gui_settings_menu_graphics_shadowmode_sqmedium;Mittel;Medium
gui_settings_menu_graphics_shadowmode_sqoff;Aus;Off
gui_settings_menu_graphics_shadowmode_squltrahigh;Ultra;Ultra
gui_settings_menu_graphics_shadowmode_sqverylow;Sehr niedrig;Very Low
;;
hint_not_implemented;Dieses Feature ist noch nicht verfügbar.;This feature is not available yet.
;;
home_beta_title;Willkommen zur geschlossenen Beta von Rise of Legions!;Welcome to the Rise of Legions closed beta!
home_beta_text;In den nächsten Wochen sammeln wir Feedback und legen den Fokus auf Stabilität, Serverkapazitäten und natürlich zerquetschen wir alle Bugs die ihr findet :D\n\nTritt unserem Discord bei und werde Teil der Diskussion!;Over the next weeks we will gather player feedback and focus on stability, serverload and of course bugs, bugs bugs :D\n\nJoin our Discord to be a part of the Discussion!
home_crystal_sunday_title;Kristall-Sonntag;Crystal Sunday
home_crystal_sunday_subtitle;Ereignis;Event
home_crystal_sunday_date;6. Mai 2018;May 6th, 2018
home_crystal_sunday_text;Diesen Sonntag werden 24h lang 60 Kristalle für jedes gewonnene PvP-Match (sowohl 1v1 als auch 2v2) ausgeschüttet!;This Sunday, for 24 hours all players will receive 60 crystals for each PvP match they win (both 1v1 and 2v2).
home_crystal_sunday_countdown;Zeit bis zum Start;Time until event begins
home_crystal_sunday_started;Das Ereignis läuft gerade!;The event is live!
home_discord_text;Klicke hier, um unserem Discord-Server beizutreten;Click here to join our Discord-Server
home_patch_notes_title;Patchnotizen vom;Patch Notes from
home_patch_notes_text;Klicke hier, um die neuesten Patchnotizen zu lesen;Click here to read the latest patch notes
;;
interface;Interface;Interface
;;
idle_dialog_caption;Idle Legions;Idle Legions
idle_dialog_message;Dein Deck ist noch unterwegs, um dir Ruhm, Ehre und ganz nebensächlich etwas Beute heimzubringen.;You deck is still on its way to gather fame, honor and mostly unimportant some loot for you.
idle_dialog_action;Mission abschließen;Complete mission
;;
keyboard;Tastenbelegung;Keyboard
;;
league;Stufe;Tier
league_plural;Stufen;Tiers
league_1;Stein;Stone
league_2;Bronze;Bronze
league_3;Silber;Silver
league_4;Gold;Gold
league_5;Kristall;Crystal
league_deck_hint;§league_%d: Die Karte mit der höchsten Stufe in einem Deck bestimmt die zugeordnete Stufe in PvP-Gefechten in der du mit diesem Deck spielst.;§league_%d: The highest card in your deck determines the tier you‘re playing in. (PvP)
league_card_hint;§league_%d: Die Stufe einer Karte bestimmt zusammen mit dem Level die Stärke der Karte und die zugeordnete Stufe in PvP-Gefechten.;§league_%d: The league and level of a card determines its power and the tier you‘re playing in. (PvP)
;;
loading_initializing;Initialisiere;Initializing
loading_finalizing;Finalisiere;Finalizing
loading_asset_type_acModel;Modell;Model
loading_asset_type_acTexture;Textur;Texture
loading_asset_type_acXMLFile;XML-Datei;XML-File
loading_asset_type_acScriptFile;Skript;Script
loading_asset_type_acParticleEffect;Partikeleffekt;Particle Effect
loading_asset_type_acShader;Shader;Shader
loading_asset_type_acCompiledShader;Shader;Shader
loading_tutorial_text_1;Baue Spawner auf dem Baufeld beim Nexus;Build Spawners on the Nexus grid
loading_tutorial_text_2;Gib dein Gold für Beschwörungen und Zauber aus;Spend your coins to play units and spells
loading_tutorial_text_3;Gib dein Seelengold für Spawner aus;Spend your soul coins to build spawners
loading_tutorial_text_4;Ausgegebenes Gold wird in Seelengold umgewandelt;Spent coins are automatically converted into soul coins
loading_tutorial_text_5;Um zum Nexus und zurück zu springen nutze:                                                       -;To jump to your base and back use:                                    -
loginmenu_loginstate_connecting;Verbinde!;Connecting!
loginmenu_loginstate_error;Undefinierter Fehler!;Unknown error!
loginmenu_loginstate_invalid;Falscher Benutzername oder Passwort!;Wrong username or password!
loginmenu_loginstate_no_connection;Konnte den Server nicht erreichen!;Could not reach server!
loginmenu_loginstate_successful;Erfolgreich!;Login successful!
remembercheck;Merken;Save
loginmenu_remember_password_hint;ACHTUNG! Diese Option nur für einen privaten Rechner verwenden, da das Password auf der Festplatte gespeichert wird.;WARNING! Use this option only on your private computer because your password will be saved to disk.
loginmenu_signup_hint;Dies öffnet den Browser mit der Registrationsseite von riseoflegions.com;This opens your browser with our registration page at riseoflegions.com
mastervolumecaption;Gesamtlautstärke:;Master volume
matchmaking_team_invite_message;Du wurdest von %s in ein Team eingeladen!;You have been invited by %s to join a team!
;;
main_menu_loading;Lade...;Loading...
;;
messages_soft_reset_subject;Account zurückgesetzt;Account Reset Compensation
messages_soft_reset_text;Alle Accounts wurden für diese Stufe der Beta zurückgesetzt. Du erhältst natürlich all deine hart verdienten Kristalle zurück und dazu noch ein paar mehr für die Credits die du erspielt hast. Viel Spaß!;All accounts have been reset. You'll receive all of your hard earned crystals back though! (Plus some more for the amount of credits you earned) Have an awesome time!
;;
messagedialog_error_caption;Fehler;Error
messagedialog_error_message_serverqueueerror;Es ist ein Fehler bei der Spielsuche aufgetreten. Bitte versuche es später erneut.;An error occured while searching for a game. Please try again later.
navbar_menu_collection;Legionen;Legions
navbar_menu_deckbuilding;Deckbuilder;Deckbuilder
navbar_menu_inventory;Beute;Loot
navbar_menu_play;Spielen;Play
navbar_menu_play_queue_info;In Warteschlange seit %s;In queue %s
navbar_menu_shop;Shop;Shop
navbar_menu_tutorial;Tutorial;Tutorial
;;
notification_card_unlocked;wurde im Shop freigeschaltet!;has been unlocked in the shop!
notification_friend_request;hat dir eine Freundschaftsanfrage geschickt!;has sent you a friend request!
notification_close;Ok;Ok
notification_message_loot_and_close;Einsammeln;Collect
notification_reward_message;Du hast folgende Belohnung erhalten:;You received following reward:
notification_reward_close;Juhu!;Yay!
notification_card_unlocked_to_shop;Zum Shop;To the shop
notification_caption_ntCardUnlock;Freischaltung!;Unlock!
notification_caption_ntReward;Beute!;Loot!
;;
popupmenu_choose_playericon;Profilicon ändern;Change profile icon
popupmenu_invite_to_game;Ins Team einladen;Invite to team
popupmenu_kick_player;Vom Team entfernen;Kick player
popupmenu_leave_team;Team verlassen;Leave team
popupmenu_promote_player;Zum Anführer befördern;Promote to leader
popupmenu_remove_friend;Entfernen;Remove
popupmenu_send_message;Chat öffnen;Open chat
queueabort;Abbrechen;Cancel
;;
quests_tutorial_caption;Tutorial;Tutorial
quests_event_caption;Ereignis;Event
quests_daily_caption;Täglich;Daily
quests_daily_empty;Du hast für heute alle täglichen Quests geschafft.;You've completed all daily quests today.
quests_weekly_caption;Wöchentlich;Weekly
quests_weekly_empty;Du hast für diese Woche alle wöchentlichen Quests geschafft.;You've completed all weekly quests for this week.
quests_collect;Belohnung abholen;Collect reward
quests_collect_hint;Die Quest ist abgeschlossen. Hole jetzt deine Belohnung ab!;The quest is completed. Collect your reward now!
quests_reroll;Quest ersetzen;Replace quest
quests_reroll_empty;Du kannst heute keine Quests mehr ersetzen.;You can't replace quests anymore for today.
quests_reroll_panel_hint;Du erhältst jeden Tag die Möglichkeit eine tägliche Quest zu wechseln und durch eine zufällige Andere zu ersetzen.;You have the option to replace one daily quest every day with a random one.
quest_description_PLAYER_START_GAME_QUEST;Starte ein beliebiges Spiel;Play a game
quest_description_PLAYER_BUY_CARD_QUEST;Kaufe eine beliebige Karte;Buy a card
quest_description_PLAY_WHITE_CARDS;Spiele %d weiße Karten;Play %d white cards
quest_description_PLAY_GREEN_CARDS;Spiele %d grüne Karten;Play %d green cards
quest_description_PLAY_BLACK_CARDS;Spiele %d schwarze Karten;Play %d black cards
quest_description_PLAY_BLUE_CARDS;Spiele %d blaue Karten;Play %d blue cards
quest_description_PLACE_SPAWNERS;Spiele %d Spawner;Play %d spawners
quest_description_SUMMON_UNITS;Beschwöre %d Einheiten;Summon %d units
quest_description_PLAY_SPELLS;Spiele %d Zauber;Cast %d spells
quest_description_WIN_3_PVE_GAMES;Gewinne %d Spiele im PvE;Win %d PvE matches
quest_description_WIN_1_PVE_GAME;Gewinne %d Spiel im PvE;Win %d PvE match
quest_description_WIN_3_GAMES_USING_PURE;Gewinne %d Spiele mit einem einfarbigen Deck;Win %d matches using a single-colored deck
quest_description_WIN_1_GAME_USING_PURE;Gewinne %d Spiel mit einem einfarbigen Deck;Win %d match using a single-colored deck
quest_description_WIN_3_PVP_GAME;Gewinne %d Spiele im PvP;Win %d pvp matches
quest_description_WIN_1_PVP_GAME;Gewinne %d Spiel im PvP;Win %d pvp match
quest_description_WIN_3_GAMES_USING_BLACK;Gewinne %d Spiele mit schwarzen Karten im Deck;Win %d matches using black cards
quest_description_WIN_1_GAME_USING_BLACK;Gewinne %d Spiel mit schwarzen Karten im Deck;Win %d match using black cards
quest_description_WIN_3_GAMES_USING_WHITE;Gewinne %d Spiele mit weißen Karten im Deck;Win %d matches using white cards
quest_description_WIN_1_GAME_USING_WHITE;Gewinne %d Spiel mit weißen Karten im Deck;Win %d match using white cards
quest_description_WIN_3_GAMES_USING_GREEN;Gewinne %d Spiele mit grünen Karten im Deck;Win %d matches using green cards
quest_description_WIN_1_GAME_USING_GREEN;Gewinne %d Spiel mit grünen Karten im Deck;Win %d match using green cards
quest_description_WIN_3_GAMES_USING_BLUE;Gewinne %d Spiele mit blauen Karten im Deck;Win %d matches using blue cards
quest_description_WIN_1_GAME_USING_BLUE;Gewinne %d Spiel mit blauen Karten im Deck;Win %d match using blue cards
quest_description_PLAY_10_GATLING_DRONES;Spiele %d Gatlingdrohnen;Summon %d Gatling Drones
quest_description_WIN_5_GAMES;Gewinne %d Spiele;Win %d matches
quest_description_WIN_2_GAMES;Gewinne %d Spiele;Win %d matches
quest_description_TUTORIAL_1_NAVIGATE_PLAY;Öffne den Tab „Spielen“;"Open the tab ""Play"""
quest_hint_TUTORIAL_1_NAVIGATE_PLAY;Klicke oben in der Navigationsleiste auf den Knopf mit der Aufschrift „Spielen“, um in das Menü zur Match-Vorbereitung zu gelangen.;"Click the button at the top navigation bar labelled ""Play"" to enter the menu for match preparation."
quest_description_TUTORIAL_2_COLLECT_REWARD;Hole eine Questbelohnung ab;Collect a quest reward
quest_hint_TUTORIAL_2_COLLECT_REWARD;Du erhältst die Belohnung von abgeschlossenen Quests, indem du im Questmenü mit der Maus über sie gehst und den Knopf „Belohnung abholen“ drückst.;"You receive your reward of completed quests by hovering them with the cursor and clicking the button ""Collect reward"""
quest_description_TUTORIAL_4_REROLL_QUEST;Ersetze eine Quest;Replace a quest
quest_hint_TUTORIAL_4_REROLL_QUEST;Du kannst pro Tag eine tägliche Quest ersetzen indem du mit der Maus über sie fährst und auf den gelben Kreispfeil klickst.;You can replace a daily quest by hovering over the quest and clicking the yellow arrow.
quest_description_TUTORIAL_5_PLAY_TUTORIAL;Spiele das PvE-Tutorial-Szenario;Play the tutorial PvE match
quest_hint_TUTORIAL_5_PLAY_TUTORIAL;Klicke oben in der Navigationsleiste auf den Knopf mit der Aufschrift „Spielen“. Dann wähle PvE, selektiere über den Moduswähler das Szenario „Tutorial“, wähle dein Deck und drücke auf „Start“.;"Click the button at the top navigation bar labelled ""Play"". Select PvE, choose the scenario ""Tutorial"", pick a deck and press ""Start""."
quest_description_TUTORIAL_6_CARD_MAX_LEVEL;Bringe eine Karte auf Level 5;Play a card to level 5
quest_hint_TUTORIAL_6_CARD_MAX_LEVEL;Für jedes Spiel, welches du abschließt, erhalten alle Karten im gewählten Deck Erfahrungspunkte. Sie können so Level aufsteigen, bis zu einem Maximum von 5, wobei sich ihre Kosten und Abklingzeiten reduzieren.;For every game you complete, all cards in the chosen deck gain experience points and level up to a maximum level of 5. For each level their costs or cooldowns are reduced.
quest_description_TUTORIAL_7_NAVIGATE_DECKBUILDER;Öffne den Tab „Deckbuilder“;"Open the tab ""Deckbuilder"""
quest_hint_TUTORIAL_7_NAVIGATE_DECKBUILDER;Klicke oben in der Navigationsleiste auf den Knopf mit der Aufschrift „Deckbuilder“, um in das Menü zur Deckbearbeitung zu gelangen.;"Click the button at the top navigation bar labelled ""Deckbuilder"" to enter the menu for deck editing."
quest_description_TUTORIAL_8_DECK_ADD_CARD;Füge eine Karte einem Deck hinzu;Add a card to a deck
quest_hint_TUTORIAL_8_DECK_ADD_CARD;Öffne ein bestehendes oder erstelle ein neues Deck im Deckbuilder. Dann klicke auf eine nicht ausgegraute Karte im Kartenpool, um sie dem Deck hinzuzufügen. Du kannst maximal zwei Farben gleichzeitig in einem Deck spielen.;Open an existing or create a new deck in the deckbuilder. Then click at a non greyed our card to add it to you deck. You can only combine two colors at max in one deck.
quest_description_TUTORIAL_9_CARD_ASCEND;Lasse eine Karte aufsteigen;Ascend a card
